No.Kec,Ibu Kota Kabupaten,Kabupaten/Kota,Prov,Kec_Kab,Tujuan2,Tujuan1,Prov.1,Tujuan Pesawat,Uang Harian,Es. I,Es. II,Es. III/Gol/IV,Es.IV /Gol/III/II/I,FB,FD,P. Bisnis,P. Ekonomi,Airport Tax,Taxi Jakarta,Taxi Daerah,B,Dlm Kota,Diklat
366,Sambas,Kab. Sambas,Kalimantan Barat,"Sambas, Kab. Sambas","Kab. Sambas, Kalbar","Sambas, Kab. Sambas, Kalimantan Barat",Kalbar,Pontianak,380.000,2.654.000,1.923.000,1.125.000,538.000,130.000,95.000,4.353.000,2.781.000,70.000,0,0,0,150.000,110.000
367,Sampang,Kab. Sampang,Jawa Timur,"Sampang, Kab. Sampang","Kab. Sampang, Jatim","Sampang, Kab. Sampang, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
368,Sampit,Kab. Kotawaringin Timur,Kalimantan Tengah,"Sampit, Kab. Kotawaringin Timur","Kab. Kotawaringin Timur, Kalteng","Sampit, Kab. Kotawaringin Timur, Kalimantan Tengah",Kalteng,Palangka raya,360.000,4.901.000,3.391.000,1.160.000,659.000,130.000,95.000,4.984.000,2.984.000,55.000,0,0,0,140.000,110.000
369,Sanana,Kab. Kep. Sula,Maluku Utara,"Sanana, Kab. Kep. Sula","Kab. Kep. Sula, Malut","Sanana, Kab. Kep. Sula, Maluku Utara",Malut,Sofifi,430.000,4.612.000,3.843.000,1.160.000,654.000,130.000,95.000,10.001.000,6.664.000,75.000,0,0,0,170.000,130.000
370,Sangatta,Kab. Kutai Timur,Kalimantan Timur,"Sangatta, Kab. Kutai Timur","Kab. Kutai Timur, Kaltim","Sangatta, Kab. Kutai Timur, Kalimantan Timur",Kaltim,Samarinda,430.000,4.000.000,2.188.000,1.507.000,804.000,130.000,95.000,7.412.000,3.797.000,115.000,0,0,0,170.000,130.000
371,Sangeti,Kab. Muaro Jambi,Jambi,"Sangeti, Kab. Muaro Jambi","Kab. Muaro Jambi, Jambi","Sangeti, Kab. Muaro Jambi, Jambi",Jambi,Jambi,370.000,5.004.000,4.102.000,1.225.000,580.000,130.000,95.000,4.065.000,2.460.000,65.000,0,0,0,150.000,110.000
372,Sanggau,Kab. Sanggau,Kalimantan Barat,"Sanggau, Kab. Sanggau","Kab. Sanggau, Kalbar","Sanggau, Kab. Sanggau, Kalimantan Barat",Kalbar,Pontianak,380.000,2.654.000,1.923.000,1.125.000,538.000,130.000,95.000,4.353.000,2.781.000,70.000,0,0,0,150.000,110.000
373,Sarilamak,Kab. Lima Puluh Kota,Sumatera Barat,"Sarilamak, Kab. Lima Puluh Kota","Kab. Lima Puluh Kota, Sumbar","Sarilamak, Kab. Lima Puluh Kota, Sumatera Barat",Sumbar,Padang,380.000,5.236.000,3.332.000,1.353.000,701.000,130.000,95.000,5.530.000,2.952.000,75.000,0,0,0,150.000,110.000
374,Sarmi,Kab. Sarmi,Papua,"Sarmi, Kab. Sarmi","Kab. Sarmi, Papua","Sarmi, Kab. Sarmi, Papua",Papua,Jayapura,580.000,3.859.000,3.318.000,2.521.000,1.038.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
375,Sarolangun,Kab. Sarolangun,Jambi,"Sarolangun, Kab. Sarolangun","Kab. Sarolangun, Jambi","Sarolangun, Kab. Sarolangun, Jambi",Jambi,Jambi,370.000,5.004.000,4.102.000,1.225.000,580.000,130.000,95.000,4.065.000,2.460.000,65.000,0,0,0,150.000,110.000
376,Saumlaki,Kab. Maluku Tenggara Barat,Maluku,"Saumlaki, Kab. Maluku Tenggara Barat","Kab. Maluku Tenggara Barat, Maluku","Saumlaki, Kab. Maluku Tenggara Barat, Maluku",Maluku,Ambon,380.000,3.467.000,3.240.000,1.059.000,667.000,130.000,95.000,13.285.000,7.081.000,70.000,0,0,0,150.000,110.000
377,Sawahlunto,Sawahlunto,Sumatera Barat,Sawahlunto,"Sawahlunto, Sumbar","Sawahlunto, Sumatera Barat",Sumbar,Padang,380.000,5.236.000,3.332.000,1.353.000,701.000,130.000,95.000,5.530.000,2.952.000,75.000,0,0,0,150.000,110.000
378,Seba,Kab. Sabu Raijua,Nusa Tenggara Timur,"Seba, Kab. Sabu Raijua","Kab. Sabu Raijua, NTT","Seba, Kab. Sabu Raijua, Nusa Tenggara Timur",NTT,Kupang,430.000,3.750.000,2.133.000,1.355.000,688.000,130.000,95.000,9.413.000,5.081.000,60.000,0,0,0,170.000,130.000
379,Sei Rampah,Kab. Serdang Bedagai,Sumatera Utara,"Sei Rampah, Kab. Serdang Bedagai","Kab. Serdang Bedagai, Sumut","Sei Rampah, Kab. Serdang Bedagai, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
380,Sekadau,Kab. Sekadau,Kalimantan Barat,"Sekadau, Kab. Sekadau","Kab. Sekadau, Kalbar","Sekadau, Kab. Sekadau, Kalimantan Barat",Kalbar,Pontianak,380.000,2.654.000,1.923.000,1.125.000,538.000,130.000,95.000,4.353.000,2.781.000,70.000,0,0,0,150.000,110.000
381,Sekayu,Kab. Musi Banyuasin,Sumatera Selatan,"Sekayu, Kab. Musi Banyuasin","Kab. Musi Banyuasin, Sumsel","Sekayu, Kab. Musi Banyuasin, Sumatera Selatan",Sumsel,Palembang,380.000,6.298.000,3.083.000,1.966.000,861.000,130.000,95.000,3.861.000,2.268.000,75.000,0,0,0,150.000,110.000
382,Selatpanjang,Kab. Kep. Meranti,Riau,"Selatpanjang, Kab. Kep. Meranti","Kab. Kep. Meranti, Riau","Selatpanjang, Kab. Kep. Meranti, Riau",Riau,Pekanbaru,370.000,3.820.000,3.119.000,1.650.000,852.000,130.000,95.000,5.583.000,3.016.000,70.000,0,0,0,150.000,110.000
383,Selong,Kab. Lombok Timur,Nusa Tenggara Barat,"Selong, Kab. Lombok Timur","Kab. Lombok Timur, NTB","Selong, Kab. Lombok Timur, Nusa Tenggara Barat",NTB,Mataram,440.000,4.375.000,2.648.000,1.418.000,907.000,130.000,95.000,5.316.000,3.230.000,85.000,0,0,0,180.000,130.000
384,Semarang,Semarang,Jawa Tengah,Semarang,"Semarang, Jateng","Semarang, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.182.000,70.000,0,0,400.000,150.000,110.000
385,Sendawar,Kab. Kutai Barat,Kalimantan Timur,"Sendawar, Kab. Kutai Barat","Kab. Kutai Barat, Kaltim","Sendawar, Kab. Kutai Barat, Kalimantan Timur",Kaltim,Samarinda,430.000,4.000.000,2.188.000,1.507.000,804.000,130.000,95.000,7.412.000,3.797.000,115.000,0,0,0,170.000,130.000
386,Sengkang,Kab. Wajo,Sulawesi Selatan,"Sengkang, Kab. Wajo","Kab. Wajo, Sulsel","Sengkang, Kab. Wajo, Sulawesi Selatan",Sulsel,Makassar,430.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,7.444.000,3.829.000,90.000,0,0,0,170.000,130.000
387,Sentani,Kab. Jayapura,Papua,"Sentani, Kab. Jayapura","Kab. Jayapura, Papua","Sentani, Kab. Jayapura, Papua",Papua,Jayapura,580.000,3.859.000,3.318.000,2.521.000,1.038.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
388,Serang,Serang,Banten,Serang,"Serang, Banten","Serang, Banten",Banten,Serang,370.000,5.725.000,2.373.000,1.301.000,724.000,130.000,95.000,100.000,100.000,0,0,0,100.000,150.000,110.000
389,Serpong,Kota Tangerang Selatan,Banten,"Serpong, Kota Tangerang Selatan","Kota Tangerang Selatan, Banten","Serpong, Kota Tangerang Selatan, Banten",Banten,Serang,370.000,5.725.000,2.373.000,1.301.000,724.000,130.000,95.000,450.000,450.000,0,0,0,450.000,0,0
390,Serui,Kab. Kep. Yapen,Papua,"Serui, Kab. Kep. Yapen","Kab. Kep. Yapen, Papua","Serui, Kab. Kep. Yapen, Papua",Papua,Jayapura,580.000,3.859.000,3.318.000,2.521.000,1.038.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
391,Siak Sri Indrapura,Kab. Siak,Riau,"Siak Sri Indrapura, Kab. Siak","Kab. Siak, Riau","Siak Sri Indrapura, Kab. Siak, Riau",Riau,Pekanbaru,370.000,3.820.000,3.119.000,1.650.000,852.000,130.000,95.000,5.583.000,3.016.000,70.000,0,0,0,150.000,110.000
392,Sibolga,Sibolga,Sumatera Utara,Sibolga,"Sibolga, Sumut","Sibolga, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
393,Sibuhuan,Kab. Padang Lawas,Sumatera Utara,"Sibuhuan, Kab. Padang Lawas","Kab. Padang Lawas, Sumut","Sibuhuan, Kab. Padang Lawas, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
394,Sidikalang,Kab. Dairi,Sumatera Utara,"Sidikalang, Kab. Dairi","Kab. Dairi, Sumut","Sidikalang, Kab. Dairi, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
395,Sidoarjo,Kab. Sidoarjo,Jawa Timur,"Sidoarjo, Kab. Sidoarjo","Kab. Sidoarjo, Jatim","Sidoarjo, Kab. Sidoarjo, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
396,Sigi Biromaru,Kab. Sigi,Sulawesi Tengah,"Sigi Biromaru, Kab. Sigi","Kab. Sigi, Sulteng","Sigi Biromaru, Kab. Sigi, Sulawesi Tengah",Sulteng,Palu,370.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,9.348.000,5.113.000,55.000,0,0,0,150.000,110.000
397,Sigli,Kab. Pidie,Aceh,"Sigli, Kab. Pidie","Kab. Pidie, Aceh","Sigli, Kab. Pidie, Aceh",Aceh,"Banda Aceh, Aceh",360.000,4.774.000,3.526.000,1.578.000,770.000,130.000,95.000,7.519.000,4.492.000,65.000,0,0,0,140.000,110.000
398,Simpang Ampek,Kab. Pasaman Barat,Sumatera Barat,"Simpang Ampek, Kab. Pasaman Barat","Kab. Pasaman Barat, Sumbar","Simpang Ampek, Kab. Pasaman Barat, Sumatera Barat",Sumbar,Padang,380.000,5.236.000,3.332.000,1.353.000,701.000,130.000,95.000,5.530.000,2.952.000,75.000,0,0,0,150.000,110.000
399,Simpang Tiga Redelong,Kab. Bener Meriah,Aceh,"Simpang Tiga Redelong, Kab. Bener Meriah","Kab. Bener Meriah, Aceh","Simpang Tiga Redelong, Kab. Bener Meriah, Aceh",Aceh,"Banda Aceh, Aceh",360.000,4.774.000,3.526.000,1.578.000,770.000,130.000,95.000,7.519.000,4.492.000,65.000,0,0,0,140.000,110.000
400,Sinabang,Kab. Simeulue,Aceh,"Sinabang, Kab. Simeulue","Kab. Simeulue, Aceh","Sinabang, Kab. Simeulue, Aceh",Aceh,"Banda Aceh, Aceh",360.000,4.774.000,3.526.000,1.578.000,770.000,130.000,95.000,7.519.000,4.492.000,65.000,0,0,0,140.000,110.000
401,Singaparna,Kab. Tasikmalaya,Jawa Barat,"Singaparna, Kab. Tasikmalaya","Kab. Tasikmalaya, Jabar","Singaparna, Kab. Tasikmalaya, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,250.000,250.000,0,0,0,250.000,170.000,130.000
402,Singaraja,Kab. Buleleng,Bali,"Singaraja, Kab. Buleleng","Kab. Buleleng, Bali","Singaraja, Kab. Buleleng, Bali",Bali,Denpasar,480.000,6.848.000,2.433.000,1.685.000,1.138.000,130.000,95.000,5.305.000,3.262.000,115.000,0,0,0,190.000,140.000
403,Singkawang,Singkawang,Kalimantan Barat,Singkawang,"Singkawang, Kalbar","Singkawang, Kalimantan Barat",Kalbar,Pontianak,380.000,2.654.000,1.923.000,1.125.000,538.000,130.000,95.000,4.353.000,2.781.000,70.000,0,0,0,150.000,110.000
404,Singkil,Kab. Aceh Singkil,Aceh,"Singkil, Kab. Aceh Singkil","Kab. Aceh Singkil, Aceh","Singkil, Kab. Aceh Singkil, Aceh",Aceh,"Banda Aceh, Aceh",360.000,4.774.000,3.526.000,1.578.000,770.000,130.000,95.000,7.519.000,4.492.000,65.000,0,0,0,140.000,110.000
405,Sinjai,Kab. Sinjai,Sulawesi Selatan,"Sinjai, Kab. Sinjai","Kab. Sinjai, Sulsel","Sinjai, Kab. Sinjai, Sulawesi Selatan",Sulsel,Makassar,430.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,7.444.000,3.829.000,90.000,0,0,0,170.000,130.000
406,Sintang,Kab. Sintang,Kalimantan Barat,"Sintang, Kab. Sintang","Kab. Sintang, Kalbar","Sintang, Kab. Sintang, Kalimantan Barat",Kalbar,Pontianak,380.000,2.654.000,1.923.000,1.125.000,538.000,130.000,95.000,4.353.000,2.781.000,70.000,0,0,0,150.000,110.000
407,Sipirok,Kab. Tapanuli Selatan,Sumatera Utara,"Sipirok, Kab. Tapanuli Selatan","Kab. Tapanuli Selatan, Sumut","Sipirok, Kab. Tapanuli Selatan, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
408,Situbondo,Kab. Situbondo,Jawa Timur,"Situbondo, Kab. Situbondo","Kab. Situbondo, Jatim","Situbondo, Kab. Situbondo, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
409,Slawi,Kab. Tegal,Jawa Tengah,"Slawi, Kab. Tegal","Kab. Tegal, Jateng","Slawi, Kab. Tegal, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.342.000,70.000,0,0,400.000,150.000,110.000
410,Sleman,Kab. Sleman,DI Yogyakarta,"Sleman, Kab. Sleman","Kab. Sleman, D.I.Yogyakarta","Sleman, Kab. Sleman, DI Yogyakarta",D.I.Yogyakarta,Yogyakarta,420.000,5.017.000,2.695.000,1.495.000,845.000,130.000,95.000,4.107.000,2.268.000,75.000,0,0,680.000,170.000,130.000
411,Soasiu,Kota Tidore Kepulauan,Maluku Utara,"Soasiu, Kota Tidore Kepulauan","Kota Tidore Kepulauan, Malut","Soasiu, Kota Tidore Kepulauan, Maluku Utara",Malut,Sofifi,430.000,4.612.000,3.843.000,1.160.000,654.000,130.000,95.000,10.001.000,6.664.000,75.000,0,0,0,170.000,130.000
412,Soe,Kab. Timor Tengah Selatan,Nusa Tenggara Timur,"Soe, Kab. Timor Tengah Selatan","Kab. Timor Tengah Selatan, NTT","Soe, Kab. Timor Tengah Selatan, Nusa Tenggara Timur",NTT,Kupang,430.000,3.750.000,2.133.000,1.355.000,688.000,130.000,95.000,9.413.000,5.081.000,60.000,0,0,0,170.000,130.000
413,Solo,Solo,Jawa Tengah,Solo,"Solo, Jateng","Solo, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.342.000,70.000,0,0,400.000,150.000,110.000
414,Solok,Solok,Sumatera Barat,Solok,"Solok, Sumbar","Solok, Sumatera Barat",Sumbar,Padang,380.000,5.236.000,3.332.000,1.353.000,701.000,130.000,95.000,3.610.000,2.120.000,75.000,0,0,0,150.000,110.000
415,Soreang,Kab. Bandung,Jawa Barat,"Soreang, Kab. Bandung","Kab. Bandung, Jabar","Soreang, Kab. Bandung, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,200.000,200.000,0,0,0,200.000,170.000,130.000
416,Sorendiweri,Kab. Supiori,Papua,"Sorendiweri, Kab. Supiori","Kab. Supiori, Papua","Sorendiweri, Kab. Supiori, Papua",Papua,Jayapura,580.000,3.859.000,3.318.000,2.521.000,1.038.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
417,Sorong.,Sorong.,Papua Barat Daya,Sorong.,"Sorong., PBD","Sorong., Papua Barat",PBD,Sorong,480.000,3.872.000,3.341.000,2.056.000,967.000,130.000,95.000,16.226.000,10.824.000,51.000,0,0,0,190.000,140.000
418,Sragen,Kab. Sragen,Jawa Tengah,"Sragen, Kab. Sragen","Kab. Sragen, Jateng","Sragen, Kab. Sragen, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.342.000,70.000,0,0,400.000,150.000,110.000
419,Stabat,Kab. Langkat,Sumatera Utara,"Stabat, Kab. Langkat","Kab. Langkat, Sumut","Stabat, Kab. Langkat, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
420,Subang,Kab. Subang,Jawa Barat,"Subang, Kab. Subang","Kab. Subang, Jabar","Subang, Kab. Subang, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,250.000,250.000,0,0,0,250.000,170.000,130.000
421,Subulussalam,Subulussalam,Aceh,Subulussalam,"Subulussalam, Aceh","Subulussalam, Aceh",Aceh,"Banda Aceh, Aceh",360.000,4.774.000,3.526.000,1.578.000,770.000,130.000,95.000,7.519.000,4.492.000,65.000,0,0,0,140.000,110.000
422,Sugapa,Kab. Intan Jaya,Papua Tengah,"Sugapa, Kab. Intan Jaya","Kab. Intan Jaya, Pate","Sugapa, Kab. Intan Jaya, Papua",Pate,Nabire,580.000,3.859.000,3.318.000,2.521.000,1.038.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
423,Suka Makmue,Kab. Nagan Raya,Aceh,"Suka Makmue, Kab. Nagan Raya","Kab. Nagan Raya, Aceh","Suka Makmue, Kab. Nagan Raya, Aceh",Aceh,"Banda Aceh, Aceh",360.000,4.774.000,3.526.000,1.578.000,770.000,130.000,95.000,7.519.000,4.492.000,65.000,0,0,0,140.000,110.000
424,Sukabumi,Kota Sukabumi,Jawa Barat,"Sukabumi, Kota Sukabumi","Kota Sukabumi, Jabar","Sukabumi, Kota Sukabumi, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,230.000,230.000,0,0,0,230.000,170.000,130.000
425,Sukadana,Kab. Lampung Timur,Lampung,"Sukadana, Kab. Lampung Timur","Kab. Lampung Timur, Lampung","Sukadana, Kab. Lampung Timur, Lampung",Lampung,Bandar Lampung,380.000,4.491.000,2.488.000,1.539.000,580.000,130.000,95.000,2.407.000,1.583.000,51.000,0,0,530.000,150.000,110.000
426,Sukadana.,Kab. Kayong Utara,Kalimantan Barat,"Sukadana., Kab. Kayong Utara","Kab. Kayong Utara, Kalbar","Sukadana., Kab. Kayong Utara, Kalimantan Barat",Kalbar,Pontianak,380.000,2.654.000,1.923.000,1.125.000,538.000,130.000,95.000,4.353.000,2.781.000,70.000,0,0,0,150.000,110.000
427,Sukamandi,Kab. Subang,Jawa Barat,"Sukamandi, Kab. Subang","Kab. Subang, Jabar","Sukamandi, Kab. Subang, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,150.000,150.000,0,0,0,150.000,170.000,130.000
428,Sukamara,Kab. Sukamara,Kalimantan Tengah,"Sukamara, Kab. Sukamara","Kab. Sukamara, Kalteng","Sukamara, Kab. Sukamara, Kalimantan Tengah",Kalteng,Palangka raya,360.000,4.901.000,3.391.000,1.160.000,659.000,130.000,95.000,4.984.000,2.984.000,55.000,0,0,0,140.000,110.000
429,Sukoharjo,Kab. Sukoharjo,Jawa Tengah,"Sukoharjo, Kab. Sukoharjo","Kab. Sukoharjo, Jateng","Sukoharjo, Kab. Sukoharjo, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.342.000,70.000,0,0,400.000,150.000,110.000
430,Sumbawa Besar,Kab. Sumbawa,Nusa Tenggara Barat,"Sumbawa Besar, Kab. Sumbawa","Kab. Sumbawa, NTB","Sumbawa Besar, Kab. Sumbawa, Nusa Tenggara Barat",NTB,Mataram,440.000,4.375.000,2.648.000,1.418.000,907.000,130.000,95.000,5.316.000,3.230.000,85.000,0,0,0,180.000,130.000
431,Sumber,Kab. Cirebon,Jawa Barat,"Sumber, Kab. Cirebon","Kab. Cirebon, Jabar","Sumber, Kab. Cirebon, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,300.000,300.000,0,0,0,300.000,170.000,130.000
432,Sumedang,Kab. Sumedang,Jawa Barat,"Sumedang, Kab. Sumedang","Kab. Sumedang, Jabar","Sumedang, Kab. Sumedang, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,200.000,200.000,0,0,0,200.000,170.000,130.000
433,Sumenep,Kab. Sumenep,Jawa Timur,"Sumenep, Kab. Sumenep","Kab. Sumenep, Jatim","Sumenep, Kab. Sumenep, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
434,Sumohai,Kab. Yahukimo,Papua Pegunungan,"Sumohai, Kab. Yahukimo","Kab. Yahukimo, Pagu","Sumohai, Kab. Yahukimo, Papua",Pagu,Wamena,580.000,5.711.000,4.911.000,3.731.000,1.536.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
435,Sungai Penuh,Sungai Penuh,Jambi,Sungai Penuh,"Sungai Penuh, Jambi","Sungai Penuh, Jambi",Jambi,Jambi,370.000,5.004.000,4.102.000,1.225.000,580.000,130.000,95.000,4.065.000,2.460.000,65.000,0,0,0,150.000,110.000
436,Sungai Raya,Kab. Kubu Raya,Kalimantan Barat,"Sungai Raya, Kab. Kubu Raya","Kab. Kubu Raya, Kalbar","Sungai Raya, Kab. Kubu Raya, Kalimantan Barat",Kalbar,Pontianak,380.000,2.654.000,1.923.000,1.125.000,538.000,130.000,95.000,4.353.000,2.781.000,70.000,0,0,0,150.000,110.000
437,Sungailiat,Kab. Bangka,Bangka Belitung,"Sungailiat, Kab. Bangka","Kab. Bangka, Bangka Belitung","Sungailiat, Kab. Bangka, Bangka Belitung",Bangka Belitung,Pangkal Pinang,410.000,4.134.000,2.838.000,1.957.000,676.000,130.000,95.000,3.412.000,2.139.000,60.000,0,0,0,160.000,120.000
438,Sungaipenuh,Kab. Kerinci,Jambi,"Sungaipenuh, Kab. Kerinci","Kab. Kerinci, Jambi","Sungaipenuh, Kab. Kerinci, Jambi",Jambi,Jambi,370.000,5.004.000,4.102.000,1.225.000,580.000,130.000,95.000,4.065.000,2.460.000,65.000,0,0,0,150.000,110.000
439,Sungguminasa,Kab. Gowa,Sulawesi Selatan,"Sungguminasa, Kab. Gowa","Kab. Gowa, Sulsel","Sungguminasa, Kab. Gowa, Sulawesi Selatan",Sulsel,Makassar,430.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,7.444.000,3.829.000,90.000,0,0,0,170.000,130.000
440,Surabaya,Surabaya,Jawa Timur,Surabaya,"Surabaya, Jatim","Surabaya, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
441,Surakarta,Surakarta,Jawa Tengah,Surakarta,"Surakarta, Jateng","Surakarta, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.342.000,70.000,0,0,400.000,150.000,110.000
442,Suwawa,Kab. Bone Bolango,Gorontalo,"Suwawa, Kab. Bone Bolango","Kab. Bone Bolango, Gorontalo","Suwawa, Kab. Bone Bolango, Gorontalo",Gorontalo,Gorontalo,370.000,4.168.000,3.107.000,1.606.000,955.000,130.000,95.000,7.231.000,4.824.000,60.000,0,0,0,150.000,110.000
443,Tabanan,Kab. Tabanan,Bali,"Tabanan, Kab. Tabanan","Kab. Tabanan, Bali","Tabanan, Kab. Tabanan, Bali",Bali,Denpasar,480.000,6.848.000,2.433.000,1.685.000,1.138.000,130.000,95.000,5.305.000,3.262.000,115.000,0,0,0,190.000,140.000
444,Tahuna,Kab. Kep. Sangihe,Sulawesi Utara,"Tahuna, Kab. Kep. Sangihe","Kab. Kep. Sangihe, Sulut","Tahuna, Kab. Kep. Sangihe, Sulawesi Utara",Sulut,Manado,370.000,4.919.000,2.290.000,1.270.000,978.000,130.000,95.000,10.824.000,5.102.000,80.000,0,0,0,150.000,110.000
445,Tais,Kab. Seluma,Bengkulu,"Tais, Kab. Seluma","Kab. Seluma, Bengkulu","Tais, Kab. Seluma, Bengkulu",Bengkulu,Bengkulu,380.000,2.140.000,1.628.000,1.546.000,692.000,130.000,95.000,4.364.000,2.621.000,55.000,0,0,0,150.000,110.000
446,Takengon,Kab. Aceh Tengah,Aceh,"Takengon, Kab. Aceh Tengah","Kab. Aceh Tengah, Aceh","Takengon, Kab. Aceh Tengah, Aceh",Aceh,"Banda Aceh, Aceh",360.000,4.774.000,3.526.000,1.578.000,770.000,130.000,95.000,7.519.000,4.492.000,65.000,0,0,0,140.000,110.000
447,Talang Ubi,Kab. Penukal Abab Lematang Ilir,Sumatera Selatan,"Talang Ubi, Kab. Penukal Abab Lematang Ilir","Kab. Penukal Abab Lematang Ilir, Sumsel","Talang Ubi, Kab. Penukal Abab Lematang Ilir, Sumatera Selatan",Sumsel,Palembang,380.000,6.298.000,3.083.000,1.966.000,861.000,130.000,95.000,3.861.000,2.268.000,75.000,0,0,0,150.000,110.000
448,Taliabu,Taliabu,Maluku Utara,Taliabu,"Taliabu, Malut","Taliabu, Maluku Utara",Malut,Sofifi,430.000,4.612.000,3.843.000,1.160.000,654.000,130.000,95.000,10.001.000,6.664.000,75.000,0,0,0,170.000,130.000
449,Taliwang,Kab. Sumbawa Barat,Nusa Tenggara Barat,"Taliwang, Kab. Sumbawa Barat","Kab. Sumbawa Barat, NTB","Taliwang, Kab. Sumbawa Barat, Nusa Tenggara Barat",NTB,Mataram,440.000,4.375.000,2.648.000,1.418.000,907.000,130.000,95.000,5.316.000,3.230.000,85.000,0,0,0,180.000,130.000
450,Taluk Kuantan,Kab. Kuantan Singingi,Riau,"Taluk Kuantan, Kab. Kuantan Singingi","Kab. Kuantan Singingi, Riau","Taluk Kuantan, Kab. Kuantan Singingi, Riau",Riau,Pekanbaru,370.000,3.820.000,3.119.000,1.650.000,852.000,130.000,95.000,5.583.000,3.016.000,70.000,0,0,0,150.000,110.000
451,Tambolaka,Kab. Sumba Barat Daya,Nusa Tenggara Timur,"Tambolaka, Kab. Sumba Barat Daya","Kab. Sumba Barat Daya, NTT","Tambolaka, Kab. Sumba Barat Daya, Nusa Tenggara Timur",NTT,Kupang,430.000,3.750.000,2.133.000,1.355.000,688.000,130.000,95.000,9.413.000,5.081.000,60.000,0,0,0,170.000,130.000
