No.Kec,Ibu Kota Kabupaten,Kabupaten/Kota,Prov,Kec_Kab,Tujuan2,Tujuan1,Prov.1,Tujuan Pesawat,Uang Harian,Es. I,Es. II,Es. III/Gol/IV,Es.IV /Gol/III/II/I,FB,FD,P. Bisnis,P. Ekonomi,Airport Tax,Taxi Jakarta,Taxi Daerah,B,Dlm Kota,Diklat
183,Kuala Pembuang,Kab. Seruyan,Kalimantan Tengah,"Kuala Pembuang, Kab. Seruyan","Kab. Seruyan, Kalteng","Kuala Pembuang, Kab. Seruyan, Kalimantan Tengah",Kalteng,Palangka raya,360.000,4.901.000,3.391.000,1.160.000,659.000,130.000,95.000,4.984.000,2.984.000,55.000,0,0,0,140.000,110.000
184,Kuala Tungkal,Kab. Tanjung Jabung Barat,Jambi,"Kuala Tungkal, Kab. Tanjung Jabung Barat","Kab. Tanjung Jabung Barat, Jambi","Kuala Tungkal, Kab. Tanjung Jabung Barat, Jambi",Jambi,Jambi,370.000,5.004.000,4.102.000,1.225.000,580.000,130.000,95.000,4.065.000,2.460.000,65.000,0,0,0,150.000,110.000
185,Kudus,Kab. Kudus,Jawa Tengah,"Kudus, Kab. Kudus","Kab. Kudus, Jateng","Kudus, Kab. Kudus, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.342.000,70.000,0,0,400.000,150.000,110.000
186,Kumurkek,Kab. Maybrat,Papua Barat Daya,"Kumurkek, Kab. Maybrat","Kab. Maybrat, PBD","Kumurkek, Kab. Maybrat, Papua Barat",PBD,Sorong,480.000,3.872.000,3.341.000,2.056.000,967.000,130.000,95.000,16.226.000,10.824.000,50.000,0,0,0,190.000,140.000
187,Kuningan,Kab. Kuningan,Jawa Barat,"Kuningan, Kab. Kuningan","Kab. Kuningan, Jabar","Kuningan, Kab. Kuningan, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,300.000,300.000,0,0,0,300.000,170.000,130.000
188,Kupang,Kupang,Nusa Tenggara Timur,Kupang,"Kupang, NTT","Kupang, Nusa Tenggara Timur",NTT,Kupang,430.000,3.750.000,2.133.000,1.355.000,688.000,130.000,95.000,9.413.000,5.081.000,60.000,0,0,0,170.000,130.000
189,Kupang.,Kab. Kupang,Nusa Tenggara Timur,"Kupang., Kab. Kupang","Kab. Kupang, NTT","Kupang., Kab. Kupang, Nusa Tenggara Timur",NTT,Kupang,430.000,3.750.000,2.133.000,1.355.000,688.000,130.000,95.000,9.413.000,5.081.000,60.000,0,0,0,170.000,130.000
190,Kutacane,Kab. Aceh Tenggara,Aceh,"Kutacane, Kab. Aceh Tenggara","Kab. Aceh Tenggara, Aceh","Kutacane, Kab. Aceh Tenggara, Aceh",Aceh,"Banda Aceh, Aceh",360.000,4.774.000,3.526.000,1.578.000,770.000,130.000,95.000,7.519.000,4.492.000,65.000,0,0,0,140.000,110.000
191,Kwandang,Kab. Gorontalo Utara,Gorontalo,"Kwandang, Kab. Gorontalo Utara","Kab. Gorontalo Utara, Gorontalo","Kwandang, Kab. Gorontalo Utara, Gorontalo",Gorontalo,Gorontalo,370.000,4.168.000,3.107.000,1.606.000,955.000,130.000,95.000,7.231.000,4.824.000,60.000,0,0,0,150.000,110.000
192,Labuan Bajo,Kab. Manggarai Barat,Nusa Tenggara Timur,"Labuan Bajo, Kab. Manggarai Barat","Kab. Manggarai Barat, NTT","Labuan Bajo, Kab. Manggarai Barat, Nusa Tenggara Timur",NTT,Kupang,430.000,3.750.000,2.133.000,1.355.000,688.000,130.000,95.000,9.413.000,5.081.000,60.000,0,0,0,170.000,130.000
